[-0.13033392],[0.00613769],[-0.29854077],[0.02626175],[0.20167668],[-0.20481893],[0.31506792],[-0.05671627],[-0.05137205]
[0.20073739],[0.45890716],[-0.05747562],[-0.6499452],[-0.5419907],[0.16655067],[0.03496629],[0.21275258],[0.5418911]
[0.22319373],[0.08332849],[0.16449103],[0.3304393],[0.27275056],[0.1742944],[-0.07340374],[0.29528898],[0.20667842]
[-0.04235937],[-0.21855074],[0.08955605],[-0.02275053],[0.66664845],[-1.3744174],[-0.28527173],[-0.02128962],[-0.2467881]
[-0.65704846],[-0.4976255],[0.13137507],[0.13533446],[-0.49997824],[-0.7281871],[0.0181206],[-0.6892402],[-0.643185]
[0.02375375],[-0.12376009],[0.05356996],[-0.332784],[-1.1576651],[0.38554284],[0.36016384],[0.10768493],[-0.16937897]
[0.31026453],[-0.73555595],[0.0684323],[-0.08433144],[0.00873881],[-0.7597092],[0.29729098],[0.285578],[-0.7358866]
[0.0233443],[0.03433542],[0.00080195],[-0.0498362],[0.2774493],[0.05939724],[4.2443185],[-0.07532966],[-0.04987381]
[0.05828325],[0.12020756],[0.14948152],[0.3308262],[-0.4638157],[-0.05570798],[-0.11035569],[-0.0354132],[-0.04171995]
[0.54149497],[0.20548466],[-0.04777184],[0.02509353],[0.12921834],[-1.2832261],[0.03657342],[0.49511057],[0.08106382]
[-0.09685845],[-0.4024985],[0.26897767],[0.16836512],[-0.413243],[0.38897],[0.12801205],[-0.11132436],[-0.5207178]
[-0.6299791],[0.16779979],[-0.0389176],[-0.70381236],[-0.34395123],[-0.18035588],[0.0234565],[-0.64626324],[0.01030328]
[-0.08242395],[0.1003141],[0.01503964],[0.29253513],[0.2162666],[-0.04532172],[-0.00691618],[-0.15492629],[0.06360552]
[-0.5769207],[0.12893665],[0.06210577],[0.06866089],[1.2579551],[-0.2161223],[0.04677027],[-0.66932297],[0.06101099]
[0.07796135],[-0.05923866],[-0.04744704],[-0.67428863],[-0.16258383],[0.03390717],[-0.21047579],[0.09626566],[0.05141341]
[-0.0380253],[-0.00537976],[0.00192157],[-0.00344175],[-0.00952956],[0.00581498],[0.02964516],[0.05876946],[-0.01458814]
[-0.3230278],[-0.15800107],[0.08990078],[-0.04674369],[-0.37032673],[0.5350421],[-0.56457937],[-0.3180478],[-0.1330491]
[0.5542876],[0.433333],[0.00582317],[0.08466676],[-1.3955284],[-0.23689084],[-0.00033124],[0.48615322],[0.36554086]
[-0.07223285],[-0.03043719],[-0.01005522],[-0.1794054],[-0.01853886],[0.03054154],[-3.641328],[0.00410033],[0.12986828]
[0.20352939],[-0.17651828],[-0.01026853],[-0.59799826],[1.1017122],[0.15484737],[-0.01869609],[0.31459144],[-0.3339331]
[-0.19411086],[0.0018928],[0.32050112],[0.0898562],[1.0513008],[0.40441915],[0.11983147],[-0.22333512],[-0.05465402]
[-0.18831505],[0.3922361],[0.2040394],[-0.6417836],[0.47326472],[-0.6421037],[-0.20485215],[-0.2917642],[0.35065562]
[-0.02821665],[0.00790412],[0.01615552],[0.32923535],[-0.12105984],[0.05187634],[-0.06252855],[0.09098282],[-0.02315427]
[0.73799056],[0.46749243],[0.12382432],[0.10959],[0.529788],[0.7452621],[-0.03189864],[0.6597464],[0.4459628]
[-0.40958667],[0.23632322],[0.32210025],[-0.05571517],[0.11050265],[0.8289286],[0.11859239],[-0.3350358],[0.20483927]
[0.51264685],[-0.18411194],[-0.04053156],[-0.25487113],[-0.9478478],[0.24320522],[0.17948648],[0.47856286],[-0.036197]
[0.12609379],[0.16792755],[0.01189604],[-1.0832077],[0.3463057],[0.35236377],[0.15239486],[0.13884822],[0.19646792]
[-0.4116505],[0.2252806],[-0.04257837],[0.12470019],[-0.03833559],[-1.3425057],[-0.19457282],[-0.4602509],[0.19008069]
[0.16735348],[-0.25400564],[-0.01858395],[0.0194973],[-1.6784736],[-0.3096812],[-0.04477476],[0.0298965],[-0.28015387]
[0.27074328],[0.37069142],[0.18206313],[0.11696117],[-0.9880983],[-0.5659763],[0.0551628],[0.2934879],[0.34697244]
[-0.0338373],[-0.07826009],[-0.20699447],[0.00486947],[-0.09322529],[0.00318163],[0.22302504],[-0.05005292],[-0.04548656]
[0.21486285],[0.10431918],[-0.03274465],[-0.06301352],[1.3493594],[0.03875653],[0.23738316],[0.15767348],[0.1284611]
[0.12495963],[0.4041169],[0.00209864],[0.00393601],[1.3456721],[0.7973772],[-0.17796378],[0.08930329],[0.47180933]
[-0.08350563],[-0.47566286],[-0.05877527],[-0.5878262],[-0.25717205],[-0.34899774],[0.05214681],[0.00303824],[-0.58165777]
[0.07095697],[0.63160414],[0.05726112],[0.02991459],[-0.36569908],[-1.2294623],[0.05163128],[0.02207973],[0.6273995]
[0.07577859],[-0.03783465],[0.00360129],[1.0972545],[0.01960703],[0.04529933],[0.00629663],[-0.05779818],[0.01742319]
[-0.00286094],[0.15917684],[0.26403892],[0.08104851],[0.12669276],[-0.33204514],[-0.32838598],[-0.14565307],[0.16806243]
[-0.02560733],[-0.65111846],[0.06652208],[0.04971816],[0.09487406],[1.4011602],[0.01021959],[-0.10508645],[-0.61982274]
[-0.4900439],[-0.5059391],[-0.01961407],[0.07049582],[0.49345928],[1.2420118],[0.03698771],[-0.53921765],[-0.5898224]
[0.52773166],[0.07541922],[0.11611548],[0.08779025],[-0.8932764],[-0.08693818],[0.4390853],[0.39161766],[0.11275194]
[-0.15418306],[-0.24566475],[-0.22485189],[0.04989923],[0.5581528],[0.6902234],[0.22983234],[-0.17409639],[-0.21770751]
[0.6009891],[0.04777614],[0.14279705],[-0.31880435],[-1.2566137],[-0.22801793],[-0.14522113],[0.69149804],[0.18284287]
[0.6288669],[0.2671404],[0.2923422],[0.00166144],[0.1474008],[0.11884934],[0.13165134],[0.65497047],[0.24382469]
[0.19202314],[-0.4469769],[0.24110729],[0.00279429],[-0.2619366],[0.7705338],[-0.24761465],[0.06405014],[-0.35304525]
[0.39136872],[0.01972243],[-0.30731398],[0.23390414],[0.22309113],[0.01741615],[-0.05669068],[0.41050363],[0.06780656]
[-0.04939589],[0.4476897],[0.11415505],[-0.25782594],[0.1445013],[0.14555222],[-0.38614106],[0.09853909],[0.36345914]
[-0.6295774],[0.28468755],[-0.040837],[0.01343445],[-0.28042656],[1.2257802],[-0.08024963],[-0.62133855],[0.3201724]
[-0.01335942],[0.5662054],[-0.0765403],[0.0241753],[0.34523714],[-0.79507816],[0.09101231],[-0.12278133],[0.55477196]
[0.21690314],[-0.6743064],[-0.06485476],[0.07511472],[-0.12128298],[-0.0277768],[0.10181777],[0.05531754],[-0.7687129]
[0.11384938],[-0.31061196],[0.16229874],[-0.42849103],[0.44776025],[-0.66741014],[0.11065944],[0.20743419],[-0.37489215]
[0.05824518],[-0.4972516],[0.33302966],[0.08244989],[-0.5407407],[-0.00365203],[0.11338961],[0.02557596],[-0.620576]
[-0.20590429],[-0.29362094],[0.028313],[0.03712495],[-1.23154],[0.8203844],[0.11909887],[-0.16662338],[-0.26483732]
[-0.15205966],[-0.37221426],[0.0480174],[0.2877359],[0.17157401],[-0.01562488],[0.00113017],[-0.17098746],[-0.42236835]
[-0.4467195],[-0.05037181],[0.14361118],[-0.3358324],[-0.7771098],[-0.31174254],[-0.00215606],[-0.4988885],[0.07252083]
[0.03731871],[0.4452605],[0.065408],[0.01269749],[0.07110325],[1.378009],[0.1957573],[-0.08405299],[0.47153637]
[0.13702533],[-0.07181795],[0.0030036],[0.24456067],[-0.26671156],[-0.01237409],[0.00059047],[0.19312756],[0.05970069]
[0.49711135],[-0.5195812],[0.16080551],[0.15149947],[0.7190428],[-0.7607321],[-0.0506037],[0.47614345],[-0.49549106]
[-0.50075823],[-0.24451913],[0.16491263],[-0.52397007],[0.9638047],[0.54265225],[-0.18065983],[-0.43855587],[-0.28985527]
[0.02132468],[-0.08670812],[-0.08893393],[-0.3562391],[-0.00811256],[-0.00625822],[-0.03026131],[-0.05547974],[0.07176177]
[0.00437829],[-0.06564015],[-0.17150004],[-0.01676242],[0.08273745],[0.06365284],[-0.29851624],[-0.11844673],[0.02110729]
[-0.02025436],[-0.02304604],[-0.00507975],[-0.00884057],[0.04386554],[-0.01030732],[0.00058752],[0.03207419],[-0.07735201]
[-0.00138384],[-0.0055871],[-0.04169511],[0.2575086],[0.13200085],[-0.05844843],[-0.01241292],[-0.1110263],[0.06113736]
[0.6173009],[-0.23104805],[0.02623443],[0.02860381],[-1.5070759],[0.6646803],[-0.08780155],[0.6456021],[-0.25589994]
[-0.6034808],[0.5555468],[0.16200872],[0.2643016],[-0.34567422],[0.28474203],[-0.05190104],[-0.5937761],[0.5596263]
